tripduration,temp_res,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,spat_res
497,2014-02-01,2014-02-01T00:18:17.000-05:00,355,Bayard St & Baxter St,40.71602118,-73.99974372,355,Bayard St & Baxter St,40.71602118,-73.99974372,17075,Subscriber,1984,1,10013
245,2014-02-01,2014-02-01T06:47:59.000-05:00,116,W 17 St & 8 Ave,40.74177603,-74.00149746,459,W 20 St & 11 Ave,40.746745,-74.007756,16807,Subscriber,1968,1,10011
433,2014-02-01,2014-02-01T07:41:48.000-05:00,472,E 32 St & Park Ave,40.7457121,-73.98194829,492,W 33 St & 7 Ave,40.75019995,-73.99093085,16760,Subscriber,1985,2,10016
431,2014-02-01,2014-02-01T09:15:06.000-05:00,450,W 49 St & 8 Ave,40.76227205,-73.98788205,523,W 38 St & 8 Ave,40.75466591,-73.99138152,17449,Subscriber,1965,1,10019
833,2014-02-01,2014-02-01T09:26:41.000-05:00,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,128,MacDougal St & Prince St,40.72710258,-74.00297088,15330,Subscriber,1964,2,10002
438,2014-02-01,2014-02-01T09:36:48.000-05:00,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,21438,Subscriber,1964,1,11205
347,2014-02-01,2014-02-01T09:59:07.000-05:00,523,W 38 St & 8 Ave,40.75466591,-73.99138152,485,W 37 St & 5 Ave,40.75038009,-73.98338988,17305,Subscriber,1960,1,10018
383,2014-02-01,2014-02-01T10:19:06.000-05:00,2017,E 43 St & 2 Ave,40.75022392,-73.97121414,385,E 55 St & 2 Ave,40.75797322,-73.96603308,19000,Subscriber,1972,2,10017
285,2014-02-01,2014-02-01T10:23:47.000-05:00,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,375,Mercer St & Bleecker St,40.72679454,-73.99695094,14586,Subscriber,1993,2,10012
1228,2014-02-01,2014-02-01T11:05:10.000-05:00,504,1 Ave & E 15 St,40.73221853,-73.98165557,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,16997,Subscriber,1984,1,10009
176,2014-02-01,2014-02-01T10:53:16.000-05:00,496,E 16 St & 5 Ave,40.73726186,-73.99238967,444,Broadway & W 24 St,40.7423543,-73.98915076,16292,Subscriber,1981,1,10003
2026,2014-02-01,2014-02-01T11:43:00.000-05:00,528,2 Ave & E 31 St,40.74290902,-73.97706058,332,Cherry St,40.71219906,-73.97948148,19340,Subscriber,1984,1,10016
2527,2014-02-01,2014-02-01T11:55:11.000-05:00,2017,E 43 St & 2 Ave,40.75022392,-73.97121414,310,State St & Smith St,40.68926942,-73.98912867,18513,Subscriber,1983,2,10017
520,2014-02-01,2014-02-01T11:29:10.000-05:00,355,Bayard St & Baxter St,40.71602118,-73.99974372,340,Madison St & Clinton St,40.71269042,-73.98776323,21112,Subscriber,1981,1,10013
849,2014-02-01,2014-02-01T11:37:16.000-05:00,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,361,Allen St & Hester St,40.71605866,-73.99190759,17715,Subscriber,1981,2,10012
1458,2014-02-01,2014-02-01T11:53:58.000-05:00,447,8 Ave & W 52 St,40.76370739,-73.9851615,518,E 39 St & 2 Ave,40.74780373,-73.9734419,18348,Subscriber,1957,1,10019
6555,2014-02-01,2014-02-01T13:31:42.000-05:00,492,W 33 St & 7 Ave,40.75019995,-73.99093085,508,W 46 St & 11 Ave,40.76341379,-73.99667444,16817,Customer,\N,0,10001
204,2014-02-01,2014-02-01T11:48:23.000-05:00,285,Broadway & E 14 St,40.73454567,-73.99074142,335,Washington Pl & Broadway,40.72903917,-73.99404649,16183,Subscriber,1989,1,10003
735,2014-02-01,2014-02-01T11:57:31.000-05:00,195,Liberty St & Broadway,40.70905623,-74.01043382,303,Mercer St & Spring St,40.72362738,-73.99949601,20690,Subscriber,1976,1,10005
442,2014-02-01,2014-02-01T12:31:20.000-05:00,342,Columbia St & Rivington St,40.71739973,-73.98016555,265,Stanton St & Chrystie St,40.72229346,-73.99147535,20382,Subscriber,1951,1,10002
1286,2014-02-01,2014-02-01T12:49:06.000-05:00,146,Hudson St & Reade St,40.71625008,-74.0091059,348,W Broadway & Spring St,40.72490985,-74.00154702,20645,Customer,\N,0,10013
1732,2014-02-01,2014-02-01T13:00:59.000-05:00,461,E 20 St & 2 Ave,40.73587678,-73.98205027,480,W 53 St & 10 Ave,40.76669671,-73.99061728,19551,Subscriber,1958,1,10003
765,2014-02-01,2014-02-01T13:24:35.000-05:00,363,West Thames St,40.70834698,-74.01713445,363,West Thames St,40.70834698,-74.01713445,17637,Subscriber,1963,1,10280
486,2014-02-01,2014-02-01T13:23:41.000-05:00,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,16442,Subscriber,1981,1,11201
329,2014-02-01,2014-02-01T13:27:11.000-05:00,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,229,Great Jones St,40.72743423,-73.99379025,20614,Subscriber,1980,1,10011
441,2014-02-01,2014-02-01T13:32:24.000-05:00,497,E 17 St & Broadway,40.73704984,-73.99009296,546,E 30 St & Park Ave S,40.74444921,-73.98303529,17936,Subscriber,1979,1,10003
224,2014-02-01,2014-02-01T13:31:30.000-05:00,330,Reade St & Broadway,40.71450451,-74.00562789,268,Howard St & Centre St,40.71910537,-73.99973337,21018,Subscriber,1989,1,10007
398,2014-02-01,2014-02-01T13:40:04.000-05:00,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,266,Avenue D & E 8 St,40.72368361,-73.97574813,19563,Subscriber,1976,1,10003
1259,2014-02-01,2014-02-01T13:58:58.000-05:00,442,W 27 St & 7 Ave,40.746647,-73.993915,489,10 Ave & W 28 St,40.75066386,-74.00176802,15305,Subscriber,1983,1,10001
