tripduration,temp_res,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,spat_res
1314,2014-02-01,2014-02-01T01:44:01.000-05:00,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,15925,Subscriber,1989,1,10003
304,2014-02-01,2014-02-01T07:44:29.000-05:00,508,W 46 St & 11 Ave,40.76341379,-73.99667444,448,W 37 St & 10 Ave,40.75660359,-73.9979009,18818,Subscriber,1974,2,10036
227,2014-02-01,2014-02-01T09:15:46.000-05:00,435,W 21 St & 6 Ave,40.74173969,-73.99415556,482,W 15 St & 7 Ave,40.73935542,-73.99931783,14924,Subscriber,1963,2,10011
558,2014-02-01,2014-02-01T09:31:46.000-05:00,466,W 25 St & 6 Ave,40.74395411,-73.99144871,519,Pershing Square N,40.75188406,-73.97770164,18336,Subscriber,1976,1,10010
499,2014-02-01,2014-02-01T09:34:26.000-05:00,495,W 47 St & 10 Ave,40.76269882,-73.99301222,449,W 52 St & 9 Ave,40.76461837,-73.98789473,21230,Subscriber,1966,1,10036
277,2014-02-01,2014-02-01T09:42:49.000-05:00,470,W 20 St & 8 Ave,40.74345335,-74.00004031,442,W 27 St & 7 Ave,40.746647,-73.993915,17087,Subscriber,1974,1,10011
574,2014-02-01,2014-02-01T09:51:27.000-05:00,478,11 Ave & W 41 St,40.76030096,-73.99884222,146,Hudson St & Reade St,40.71625008,-74.0091059,20595,Subscriber,1988,1,10036
773,2014-02-01,2014-02-01T10:05:12.000-05:00,474,5 Ave & E 29 St,40.7451677,-73.98683077,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,19393,Subscriber,1958,1,10016
339,2014-02-01,2014-02-01T10:03:44.000-05:00,2003,1 Ave & E 18 St,40.73416059,-73.98024289,496,E 16 St & 5 Ave,40.73726186,-73.99238967,21116,Subscriber,1979,2,10009
1442,2014-02-01,2014-02-01T10:26:01.000-05:00,263,Elizabeth St & Hester St,40.71729,-73.996375,2000,Front St & Washington St,40.70255088,-73.98940236,15798,Customer,\N,0,10013
443,2014-02-01,2014-02-01T10:30:49.000-05:00,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,346,Bank St & Hudson St,40.73652889,-74.00618026,19241,Subscriber,1985,1,11201
2686,2014-02-01,2014-02-01T11:15:51.000-05:00,368,Carmine St & 6 Ave,40.73038599,-74.00214988,377,6 Ave & Canal St,40.72243797,-74.00566443,15286,Subscriber,1962,1,10014
577,2014-02-01,2014-02-01T10:43:51.000-05:00,340,Madison St & Clinton St,40.71269042,-73.98776323,82,St James Pl & Pearl St,40.71117416,-74.00016545,18182,Subscriber,1952,1,10002
866,2014-02-01,2014-02-01T11:02:16.000-05:00,430,York St & Jay St,40.7014851,-73.98656928,412,Forsyth St & Canal St,40.7158155,-73.99422366,17396,Subscriber,1982,1,11201
202,2014-02-01,2014-02-01T10:53:47.000-05:00,326,E 11 St & 1 Ave,40.72953837,-73.98426726,439,E 4 St & 2 Ave,40.7262807,-73.98978041,16420,Subscriber,1985,2,10003
332,2014-02-01,2014-02-01T11:24:08.000-05:00,386,Centre St & Worth St,40.71494807,-74.00234482,146,Hudson St & Reade St,40.71625008,-74.0091059,18612,Subscriber,1963,2,10007
1109,2014-02-01,2014-02-01T11:38:59.000-05:00,254,W 11 St & 6 Ave,40.73532427,-73.99800419,295,Pike St & E Broadway,40.71406667,-73.99293911,20279,Subscriber,1985,2,10011
759,2014-02-01,2014-02-01T11:33:25.000-05:00,385,E 55 St & 2 Ave,40.75797322,-73.96603308,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,18885,Subscriber,1985,1,10022
329,2014-02-01,2014-02-01T11:57:13.000-05:00,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,439,E 4 St & 2 Ave,40.7262807,-73.98978041,20728,Subscriber,1977,1,10012
294,2014-02-01,2014-02-01T11:58:35.000-05:00,490,8 Ave & W 33 St,40.751551,-73.993934,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,16157,Subscriber,1972,1,10001
1250,2014-02-01,2014-02-01T12:27:32.000-05:00,352,W 56 St & 6 Ave,40.76340613,-73.97722479,496,E 16 St & 5 Ave,40.73726186,-73.99238967,15675,Subscriber,1946,1,10019
416,2014-02-01,2014-02-01T12:29:09.000-05:00,375,Mercer St & Bleecker St,40.72679454,-73.99695094,127,Barrow St & Hudson St,40.73172428,-74.00674436,19266,Subscriber,1976,1,10012
250,2014-02-01,2014-02-01T12:27:00.000-05:00,515,W 43 St & 10 Ave,40.76009437,-73.99461843,449,W 52 St & 9 Ave,40.76461837,-73.98789473,15437,Subscriber,1976,1,10036
531,2014-02-01,2014-02-01T12:34:37.000-05:00,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,490,8 Ave & W 33 St,40.751551,-73.993934,18464,Subscriber,1982,2,10036
2762,2014-02-01,2014-02-01T13:12:06.000-05:00,328,Watts St & Greenwich St,40.72405549,-74.00965965,293,Lafayette St & E 8 St,40.73028666,-73.9907647,15080,Subscriber,1974,1,10013
551,2014-02-01,2014-02-01T12:38:47.000-05:00,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,294,Washington Square E,40.73049393,-73.9957214,19114,Subscriber,1986,1,10011
491,2014-02-01,2014-02-01T12:38:39.000-05:00,410,Suffolk St & Stanton St,40.72066442,-73.98517977,128,MacDougal St & Prince St,40.72710258,-74.00297088,15940,Subscriber,1986,1,10002
137,2014-02-01,2014-02-01T12:37:54.000-05:00,143,Clinton St & Joralemon St,40.69239502,-73.99337909,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,15356,Subscriber,1962,1,11201
291,2014-02-01,2014-02-01T13:08:58.000-05:00,293,Lafayette St & E 8 St,40.73028666,-73.9907647,254,W 11 St & 6 Ave,40.73532427,-73.99800419,15394,Subscriber,1960,1,10003
870,2014-02-01,2014-02-01T13:42:09.000-05:00,446,W 24 St & 7 Ave,40.74487634,-73.99529885,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,21095,Subscriber,1972,1,10001
1143,2014-02-01,2014-02-01T13:51:53.000-05:00,309,Murray St & West St,40.7149787,-74.013012,435,W 21 St & 6 Ave,40.74173969,-73.99415556,14581,Subscriber,1973,1,10007
496,2014-02-01,2014-02-01T13:42:54.000-05:00,358,Christopher St & Greenwich St,40.73291553,-74.00711384,329,Greenwich St & N Moore St,40.72043411,-74.01020609,18973,Subscriber,1968,1,10014
714,2014-02-01,2014-02-01T13:50:38.000-05:00,361,Allen St & Hester St,40.71605866,-73.99190759,450,W 49 St & 8 Ave,40.76227205,-73.98788205,19285,Subscriber,1983,2,10002
531,2014-02-01,2014-02-01T13:57:11.000-05:00,462,W 22 St & 10 Ave,40.74691959,-74.00451887,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,15680,Subscriber,1985,2,10011
500,2014-02-01,2014-02-01T14:06:24.000-05:00,439,E 4 St & 2 Ave,40.7262807,-73.98978041,347,W Houston St & Hudson St,40.72873888,-74.00748842,15443,Subscriber,1987,1,10003
550,2014-02-01,2014-02-01T14:11:44.000-05:00,445,E 10 St & Avenue A,40.72740794,-73.98142006,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,20562,Subscriber,1983,1,10009
629,2014-02-01,2014-02-01T14:21:02.000-05:00,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,407,Henry St & Poplar St,40.700469,-73.991454,18125,Subscriber,1993,1,11201
