tripduration,temp_res,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,spat_res
469,2014-02-01,2014-02-01T00:20:29.000-05:00,497,E 17 St & Broadway,40.73704984,-73.99009296,352,W 56 St & 6 Ave,40.76340613,-73.97722479,20132,Subscriber,1975,1,10003
272,2014-02-01,2014-02-01T00:18:53.000-05:00,435,W 21 St & 6 Ave,40.74173969,-73.99415556,509,9 Ave & W 22 St,40.7454973,-74.00197139,16369,Subscriber,1988,1,10011
317,2014-02-01,2014-02-01T00:20:45.000-05:00,477,W 41 St & 8 Ave,40.75640548,-73.9900262,478,11 Ave & W 41 St,40.76030096,-73.99884222,14768,Subscriber,1974,1,10018
874,2014-02-01,2014-02-01T01:03:13.000-05:00,470,W 20 St & 8 Ave,40.74345335,-74.00004031,423,W 54 St & 9 Ave,40.76584941,-73.98690506,20249,Subscriber,1974,1,10011
326,2014-02-01,2014-02-01T03:07:29.000-05:00,412,Forsyth St & Canal St,40.7158155,-73.99422366,291,Madison St & Montgomery St,40.713126,-73.984844,17630,Subscriber,1989,1,10002
368,2014-02-01,2014-02-01T05:04:43.000-05:00,312,Allen St & E Houston St,40.722055,-73.989111,295,Pike St & E Broadway,40.71406667,-73.99293911,17008,Subscriber,1961,1,10002
419,2014-02-01,2014-02-01T06:27:05.000-05:00,519,Pershing Square N,40.75188406,-73.97770164,527,E 33 St & 1 Ave,40.74315566,-73.97434726,15523,Subscriber,1960,1,10017
340,2014-02-01,2014-02-01T06:59:21.000-05:00,301,E 2 St & Avenue B,40.72217444,-73.98368779,229,Great Jones St,40.72743423,-73.99379025,17234,Subscriber,1974,1,10009
571,2014-02-01,2014-02-01T07:36:45.000-05:00,174,E 25 St & 1 Ave,40.7381765,-73.97738662,285,Broadway & E 14 St,40.73454567,-73.99074142,19003,Subscriber,1947,1,10016
420,2014-02-01,2014-02-01T07:53:09.000-05:00,521,8 Ave & W 31 St,40.75044999,-73.99481051,478,11 Ave & W 41 St,40.76030096,-73.99884222,20595,Subscriber,1971,1,10001
245,2014-02-01,2014-02-01T08:55:17.000-05:00,271,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,16258,Subscriber,1957,1,11217
153,2014-02-01,2014-02-01T09:20:28.000-05:00,345,W 13 St & 6 Ave,40.73649403,-73.99704374,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,20330,Subscriber,1986,1,10011
532,2014-02-01,2014-02-01T09:52:50.000-05:00,280,E 10 St & 5 Ave,40.73331967,-73.99510132,377,6 Ave & Canal St,40.72243797,-74.00566443,18393,Subscriber,1966,1,10003
208,2014-02-01,2014-02-01T09:52:22.000-05:00,448,W 37 St & 10 Ave,40.75660359,-73.9979009,488,W 39 St & 9 Ave,40.75645824,-73.99372222,15040,Subscriber,1989,1,10018
598,2014-02-01,2014-02-01T10:24:32.000-05:00,160,E 37 St & Lexington Ave,40.748238,-73.978311,466,W 25 St & 6 Ave,40.74395411,-73.99144871,17773,Subscriber,1967,1,10016
554,2014-02-01,2014-02-01T10:24:08.000-05:00,146,Hudson St & Reade St,40.71625008,-74.0091059,347,W Houston St & Hudson St,40.72873888,-74.00748842,20595,Subscriber,1967,1,10013
606,2014-02-01,2014-02-01T10:33:45.000-05:00,435,W 21 St & 6 Ave,40.74173969,-73.99415556,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,20362,Subscriber,1959,2,10011
1034,2014-02-01,2014-02-01T11:10:46.000-05:00,434,9 Ave & W 18 St,40.74317449,-74.00366443,508,W 46 St & 11 Ave,40.76341379,-73.99667444,19321,Subscriber,1983,1,10011
6346,2014-02-01,2014-02-01T13:10:31.000-05:00,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,441,E 52 St & 2 Ave,40.756014,-73.967416,16271,Customer,\N,0,10019
488,2014-02-01,2014-02-01T11:35:45.000-05:00,352,W 56 St & 6 Ave,40.76340613,-73.97722479,450,W 49 St & 8 Ave,40.76227205,-73.98788205,15240,Subscriber,1962,2,10019
345,2014-02-01,2014-02-01T11:59:47.000-05:00,470,W 20 St & 8 Ave,40.74345335,-74.00004031,346,Bank St & Hudson St,40.73652889,-74.00618026,19168,Subscriber,1962,1,10011
847,2014-02-01,2014-02-01T12:09:05.000-05:00,457,Broadway & W 58 St,40.76695317,-73.98169333,474,5 Ave & E 29 St,40.7451677,-73.98683077,15269,Subscriber,1964,2,10019
477,2014-02-01,2014-02-01T12:03:56.000-05:00,477,W 41 St & 8 Ave,40.75640548,-73.9900262,521,8 Ave & W 31 St,40.75044999,-73.99481051,19738,Subscriber,1988,1,10018
426,2014-02-01,2014-02-01T12:08:57.000-05:00,293,Lafayette St & E 8 St,40.73028666,-73.9907647,293,Lafayette St & E 8 St,40.73028666,-73.9907647,18134,Subscriber,1983,1,10003
496,2014-02-01,2014-02-01T12:15:55.000-05:00,500,Broadway & W 51 St,40.76228826,-73.98336183,490,8 Ave & W 33 St,40.751551,-73.993934,15265,Subscriber,1970,1,10019
497,2014-02-01,2014-02-01T12:20:06.000-05:00,499,Broadway & W 60 St,40.76915505,-73.98191841,72,W 52 St & 11 Ave,40.76727216,-73.99392888,17484,Subscriber,1962,1,10023
500,2014-02-01,2014-02-01T12:37:50.000-05:00,326,E 11 St & 1 Ave,40.72953837,-73.98426726,345,W 13 St & 6 Ave,40.73649403,-73.99704374,17747,Subscriber,1973,2,10003
868,2014-02-01,2014-02-01T13:31:36.000-05:00,340,Madison St & Clinton St,40.71269042,-73.98776323,471,Grand St & Havemeyer St,40.71286844,-73.95698119,18038,Subscriber,1986,1,10002
339,2014-02-01,2014-02-01T13:23:04.000-05:00,531,Forsyth St & Broome St,40.71893904,-73.99266288,450,W 49 St & 8 Ave,40.76227205,-73.98788205,19716,Subscriber,1946,1,10002
533,2014-02-01,2014-02-01T13:28:02.000-05:00,285,Broadway & E 14 St,40.73454567,-73.99074142,128,MacDougal St & Prince St,40.72710258,-74.00297088,20348,Subscriber,1978,2,10003
212,2014-02-01,2014-02-01T13:25:52.000-05:00,482,W 15 St & 7 Ave,40.73935542,-73.99931783,435,W 21 St & 6 Ave,40.74173969,-73.99415556,20330,Subscriber,1960,1,10011
2067,2014-02-01,2014-02-01T13:58:06.000-05:00,355,Bayard St & Baxter St,40.71602118,-73.99974372,514,12 Ave & W 40 St,40.76087502,-74.00277668,15028,Subscriber,1981,2,10013
1284,2014-02-01,2014-02-01T13:48:28.000-05:00,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,313,Washington Ave & Park Ave,40.69610226,-73.96751037,17110,Subscriber,1982,1,11201
962,2014-02-01,2014-02-01T14:07:39.000-05:00,345,W 13 St & 6 Ave,40.73649403,-73.99704374,330,Reade St & Broadway,40.71450451,-74.00562789,17919,Customer,\N,0,10011
815,2014-02-01,2014-02-01T14:21:49.000-05:00,303,Mercer St & Spring St,40.72362738,-73.99949601,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,15458,Subscriber,1983,2,10012
5068,2014-02-01,2014-02-01T15:35:47.000-05:00,525,W 34 St & 11 Ave,40.75594159,-74.0021163,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,18172,Customer,\N,0,10001
398,2014-02-01,2014-02-01T14:24:02.000-05:00,303,Mercer St & Spring St,40.72362738,-73.99949601,303,Mercer St & Spring St,40.72362738,-73.99949601,21205,Subscriber,1974,1,10012
260,2014-02-01,2014-02-01T14:26:07.000-05:00,402,Broadway & E 22 St,40.7403432,-73.98955109,168,W 18 St & 6 Ave,40.73971301,-73.99456405,17551,Subscriber,1987,1,10010
524,2014-02-01,2014-02-01T14:45:19.000-05:00,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,16801,Subscriber,1976,1,11201
287,2014-02-01,2014-02-01T14:45:55.000-05:00,326,E 11 St & 1 Ave,40.72953837,-73.98426726,382,University Pl & E 14 St,40.73492695,-73.99200509,21247,Subscriber,1953,1,10003
