tripduration,temp_res,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,spat_res
186,2014-02-01,2014-02-01T00:24:46.000-05:00,476,E 31 St & 3 Ave,40.74394314,-73.97966069,527,E 33 St & 1 Ave,40.74315566,-73.97434726,18172,Subscriber,1979,1,10016
305,2014-02-01,2014-02-01T00:35:46.000-05:00,401,Allen St & Rivington St,40.72019576,-73.98997825,433,E 13 St & Avenue A,40.72955361,-73.98057249,18288,Subscriber,1974,1,10002
420,2014-02-01,2014-02-01T01:02:44.000-05:00,405,Washington St & Gansevoort St,40.739323,-74.008119,127,Barrow St & Hudson St,40.73172428,-74.00674436,17953,Subscriber,1968,1,10014
405,2014-02-01,2014-02-01T03:43:42.000-05:00,500,Broadway & W 51 St,40.76228826,-73.98336183,164,E 47 St & 2 Ave,40.75323098,-73.97032517,18947,Subscriber,1972,1,10019
596,2014-02-01,2014-02-01T09:34:39.000-05:00,297,E 15 St & 3 Ave,40.734232,-73.986923,168,W 18 St & 6 Ave,40.73971301,-73.99456405,18467,Subscriber,1979,1,10003
929,2014-02-01,2014-02-01T09:58:46.000-05:00,351,Front St & Maiden Ln,40.70530954,-74.00612572,312,Allen St & E Houston St,40.722055,-73.989111,19285,Subscriber,1978,1,10005
326,2014-02-01,2014-02-01T09:59:23.000-05:00,307,Canal St & Rutgers St,40.71427487,-73.98990025,473,Rivington St & Chrystie St,40.72110063,-73.9919254,15359,Subscriber,1991,2,10002
134,2014-02-01,2014-02-01T10:19:44.000-05:00,2008,Little West St & 1 Pl,40.70569254,-74.01677685,363,West Thames St,40.70834698,-74.01713445,21126,Subscriber,1974,2,10280
366,2014-02-01,2014-02-01T10:28:03.000-05:00,478,11 Ave & W 41 St,40.76030096,-73.99884222,529,W 42 St & 8 Ave,40.7575699,-73.99098507,19040,Subscriber,1985,1,10036
774,2014-02-01,2014-02-01T10:35:55.000-05:00,164,E 47 St & 2 Ave,40.75323098,-73.97032517,297,E 15 St & 3 Ave,40.734232,-73.986923,16808,Subscriber,1971,2,10017
816,2014-02-01,2014-02-01T11:18:18.000-05:00,167,E 39 St & 3 Ave,40.7489006,-73.97604882,237,E 11 St & 2 Ave,40.73047309,-73.98672378,19956,Subscriber,1956,2,10016
410,2014-02-01,2014-02-01T11:15:17.000-05:00,363,West Thames St,40.70834698,-74.01713445,319,Park Pl & Church St,40.71336124,-74.00937622,14690,Subscriber,1962,1,10280
119,2014-02-01,2014-02-01T11:27:55.000-05:00,489,10 Ave & W 28 St,40.75066386,-74.00176802,458,11 Ave & W 27 St,40.751396,-74.005226,16583,Subscriber,1986,2,10001
469,2014-02-01,2014-02-01T11:35:07.000-05:00,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,459,W 20 St & 11 Ave,40.746745,-74.007756,19639,Subscriber,1986,1,10014
1208,2014-02-01,2014-02-01T11:57:04.000-05:00,290,2 Ave & E 58 St,40.76020258,-73.96478473,515,W 43 St & 10 Ave,40.76009437,-73.99461843,14734,Subscriber,1984,2,10022
262,2014-02-01,2014-02-01T11:41:34.000-05:00,472,E 32 St & Park Ave,40.7457121,-73.98194829,474,5 Ave & E 29 St,40.7451677,-73.98683077,17653,Subscriber,1964,1,10016
570,2014-02-01,2014-02-01T12:05:32.000-05:00,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,228,E 48 St & 3 Ave,40.7546011026,-73.971878855,18500,Customer,\N,0,10019
571,2014-02-01,2014-02-01T12:12:30.000-05:00,458,11 Ave & W 27 St,40.751396,-74.005226,276,Duane St & Greenwich St,40.71748752,-74.0104554,19431,Subscriber,1963,2,10001
343,2014-02-01,2014-02-01T12:08:52.000-05:00,363,West Thames St,40.70834698,-74.01713445,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,18688,Subscriber,1974,1,10280
586,2014-02-01,2014-02-01T12:27:17.000-05:00,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,403,E 2 St & 2 Ave,40.72502876,-73.99069656,17606,Subscriber,1971,1,10014
1494,2014-02-01,2014-02-01T12:52:22.000-05:00,504,1 Ave & E 15 St,40.73221853,-73.98165557,523,W 38 St & 8 Ave,40.75466591,-73.99138152,18712,Subscriber,1980,2,10009
193,2014-02-01,2014-02-01T13:05:07.000-05:00,306,Cliff St & Fulton St,40.70823502,-74.00530063,415,Pearl St & Hanover Square,40.7047177,-74.00926027,18741,Subscriber,1978,1,10038
714,2014-02-01,2014-02-01T13:20:30.000-05:00,426,West St & Chambers St,40.71754834,-74.01322069,347,W Houston St & Hudson St,40.72873888,-74.00748842,14664,Subscriber,1985,2,10013
535,2014-02-01,2014-02-01T13:18:03.000-05:00,174,E 25 St & 1 Ave,40.7381765,-73.97738662,444,Broadway & W 24 St,40.7423543,-73.98915076,14692,Subscriber,1986,1,10016
1959,2014-02-01,2014-02-01T13:51:55.000-05:00,394,E 9 St & Avenue C,40.72521311,-73.97768752,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,20219,Subscriber,1991,1,10009
995,2014-02-01,2014-02-01T13:36:03.000-05:00,174,E 25 St & 1 Ave,40.7381765,-73.97738662,524,W 43 St & 6 Ave,40.75527307,-73.98316936,14973,Customer,\N,0,10016
1584,2014-02-01,2014-02-01T13:49:10.000-05:00,513,W 56 St & 10 Ave,40.768254,-73.988639,434,9 Ave & W 18 St,40.74317449,-74.00366443,17058,Subscriber,1966,1,10019
751,2014-02-01,2014-02-01T13:38:57.000-05:00,476,E 31 St & 3 Ave,40.74394314,-73.97966069,458,11 Ave & W 27 St,40.751396,-74.005226,18946,Subscriber,1985,1,10016
328,2014-02-01,2014-02-01T13:56:59.000-05:00,394,E 9 St & Avenue C,40.72521311,-73.97768752,237,E 11 St & 2 Ave,40.73047309,-73.98672378,16506,Subscriber,1970,1,10009
392,2014-02-01,2014-02-01T14:00:42.000-05:00,536,1 Ave & E 30 St,40.74144387,-73.97536082,379,W 31 St & 7 Ave,40.749156,-73.9916,14790,Subscriber,1975,1,10016
