tripduration,temp_res,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,spat_res
1278,2014-02-01,2014-02-01T08:17:27.000-05:00,441,E 52 St & 2 Ave,40.756014,-73.967416,441,E 52 St & 2 Ave,40.756014,-73.967416,20078,Subscriber,1981,1,10022
830,2014-02-01,2014-02-01T09:34:10.000-05:00,296,Division St & Bowery,40.71413089,-73.9970468,430,York St & Jay St,40.7014851,-73.98656928,19365,Subscriber,1957,1,10002
405,2014-02-01,2014-02-01T09:33:24.000-05:00,448,W 37 St & 10 Ave,40.75660359,-73.9979009,485,W 37 St & 5 Ave,40.75038009,-73.98338988,15597,Subscriber,1986,1,10018
523,2014-02-01,2014-02-01T09:35:54.000-05:00,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,467,Dean St & 4 Ave,40.68312489,-73.97895137,21312,Subscriber,1972,2,11238
717,2014-02-01,2014-02-01T09:45:40.000-05:00,301,E 2 St & Avenue B,40.72217444,-73.98368779,296,Division St & Bowery,40.71413089,-73.9970468,19441,Subscriber,1958,2,10009
287,2014-02-01,2014-02-01T10:20:17.000-05:00,317,E 6 St & Avenue B,40.72453734,-73.98185424,446,W 24 St & 7 Ave,40.74487634,-73.99529885,19014,Subscriber,1969,2,10009
220,2014-02-01,2014-02-01T10:35:51.000-05:00,329,Greenwich St & N Moore St,40.72043411,-74.01020609,147,Greenwich St & Warren St,40.71542197,-74.01121978,15035,Subscriber,1963,1,10013
2043,2014-02-01,2014-02-01T11:19:53.000-05:00,457,Broadway & W 58 St,40.76695317,-73.98169333,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,16271,Customer,\N,0,10019
458,2014-02-01,2014-02-01T11:01:57.000-05:00,433,E 13 St & Avenue A,40.72955361,-73.98057249,497,E 17 St & Broadway,40.73704984,-73.99009296,16121,Subscriber,1985,2,10009
656,2014-02-01,2014-02-01T11:06:55.000-05:00,503,E 20 St & Park Ave,40.73827428,-73.98751968,212,W 16 St & The High Line,40.74334935,-74.00681753,15057,Subscriber,1990,1,10003
341,2014-02-01,2014-02-01T11:03:44.000-05:00,495,W 47 St & 10 Ave,40.76269882,-73.99301222,422,W 59 St & 10 Ave,40.770513,-73.988038,16600,Subscriber,1979,1,10036
266,2014-02-01,2014-02-01T11:06:11.000-05:00,513,W 56 St & 10 Ave,40.768254,-73.988639,469,Broadway & W 53 St,40.76344058,-73.98268129,18195,Customer,\N,0,10019
154,2014-02-01,2014-02-01T11:34:03.000-05:00,435,W 21 St & 6 Ave,40.74173969,-73.99415556,402,Broadway & E 22 St,40.7403432,-73.98955109,20534,Subscriber,1975,1,10011
480,2014-02-01,2014-02-01T12:04:02.000-05:00,497,E 17 St & Broadway,40.73704984,-73.99009296,453,W 22 St & 8 Ave,40.74475148,-73.99915362,15622,Subscriber,1974,1,10003
742,2014-02-01,2014-02-01T12:24:52.000-05:00,173,Broadway & W 49 St,40.76064679,-73.98442659,509,9 Ave & W 22 St,40.7454973,-74.00197139,20340,Subscriber,1985,2,10019
510,2014-02-01,2014-02-01T12:41:21.000-05:00,317,E 6 St & Avenue B,40.72453734,-73.98185424,285,Broadway & E 14 St,40.73454567,-73.99074142,18039,Subscriber,1976,1,10009
1648,2014-02-01,2014-02-01T13:02:19.000-05:00,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,153,E 40 St & 5 Ave,40.752062307,-73.9816324043,15117,Subscriber,1961,1,10012
569,2014-02-01,2014-02-01T13:14:52.000-05:00,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,428,E 3 St & 1 Ave,40.72467721,-73.98783413,14648,Subscriber,1985,2,10011
1128,2014-02-01,2014-02-01T13:29:22.000-05:00,293,Lafayette St & E 8 St,40.73028666,-73.9907647,296,Division St & Bowery,40.71413089,-73.9970468,15652,Subscriber,1969,2,10003
203,2014-02-01,2014-02-01T13:23:17.000-05:00,402,Broadway & E 22 St,40.7403432,-73.98955109,435,W 21 St & 6 Ave,40.74173969,-73.99415556,15238,Subscriber,1987,2,10010
1341,2014-02-01,2014-02-01T14:00:50.000-05:00,341,Stanton St & Mangin St,40.71782143,-73.97628939,385,E 55 St & 2 Ave,40.75797322,-73.96603308,16890,Subscriber,1987,1,10002
295,2014-02-01,2014-02-01T13:50:48.000-05:00,347,W Houston St & Hudson St,40.72873888,-74.00748842,368,Carmine St & 6 Ave,40.73038599,-74.00214988,19764,Subscriber,1961,1,10014
247,2014-02-01,2014-02-01T13:53:14.000-05:00,254,W 11 St & 6 Ave,40.73532427,-73.99800419,294,Washington Square E,40.73049393,-73.9957214,19175,Subscriber,1986,1,10011
485,2014-02-01,2014-02-01T14:00:51.000-05:00,334,W 20 St & 7 Ave,40.74238787,-73.99726235,461,E 20 St & 2 Ave,40.73587678,-73.98205027,19004,Subscriber,1980,2,10011
211,2014-02-01,2014-02-01T14:16:28.000-05:00,168,W 18 St & 6 Ave,40.73971301,-73.99456405,466,W 25 St & 6 Ave,40.74395411,-73.99144871,16759,Subscriber,1976,1,10011
560,2014-02-01,2014-02-01T14:27:17.000-05:00,361,Allen St & Hester St,40.71605866,-73.99190759,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,16202,Subscriber,1969,1,10002
865,2014-02-01,2014-02-01T14:49:26.000-05:00,153,E 40 St & 5 Ave,40.752062307,-73.9816324043,368,Carmine St & 6 Ave,40.73038599,-74.00214988,19492,Subscriber,1980,1,10016
353,2014-02-01,2014-02-01T14:52:08.000-05:00,518,E 39 St & 2 Ave,40.74780373,-73.9734419,454,E 51 St & 1 Ave,40.75455731,-73.96592976,20529,Subscriber,1982,2,10016
498,2014-02-01,2014-02-01T14:57:15.000-05:00,128,MacDougal St & Prince St,40.72710258,-74.00297088,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,14805,Subscriber,1950,2,10014
494,2014-02-01,2014-02-01T15:15:50.000-05:00,358,Christopher St & Greenwich St,40.73291553,-74.00711384,280,E 10 St & 5 Ave,40.73331967,-73.99510132,16985,Subscriber,1982,2,10014
1198,2014-02-01,2014-02-01T15:34:54.000-05:00,195,Liberty St & Broadway,40.70905623,-74.01043382,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,20559,Subscriber,1966,1,10005
621,2014-02-01,2014-02-01T15:25:23.000-05:00,332,Cherry St,40.71219906,-73.97948148,386,Centre St & Worth St,40.71494807,-74.00234482,18976,Subscriber,1964,1,10002
327,2014-02-01,2014-02-01T15:21:15.000-05:00,523,W 38 St & 8 Ave,40.75466591,-73.99138152,492,W 33 St & 7 Ave,40.75019995,-73.99093085,15518,Subscriber,1962,1,10018
1889,2014-02-01,2014-02-01T15:52:16.000-05:00,457,Broadway & W 58 St,40.76695317,-73.98169333,482,W 15 St & 7 Ave,40.73935542,-73.99931783,15079,Subscriber,1979,2,10019
