tripduration,temp_res,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,spat_res
916,2014-02-01,2014-02-01T00:16:27.000-05:00,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,16020,Subscriber,1978,1,11205
477,2014-02-01,2014-02-01T00:29:52.000-05:00,446,W 24 St & 7 Ave,40.74487634,-73.99529885,546,E 30 St & Park Ave S,40.74444921,-73.98303529,16133,Subscriber,1953,1,10001
154,2014-02-01,2014-02-01T07:51:23.000-05:00,329,Greenwich St & N Moore St,40.72043411,-74.01020609,426,West St & Chambers St,40.71754834,-74.01322069,15035,Subscriber,1976,2,10013
259,2014-02-01,2014-02-01T09:44:11.000-05:00,223,W 13 St & 7 Ave,40.73781509,-73.99994661,382,University Pl & E 14 St,40.73492695,-73.99200509,18003,Subscriber,1958,1,10011
591,2014-02-01,2014-02-01T10:03:42.000-05:00,426,West St & Chambers St,40.71754834,-74.01322069,79,Franklin St & W Broadway,40.71911552,-74.00666661,19018,Subscriber,1966,1,10013
366,2014-02-01,2014-02-01T10:01:21.000-05:00,462,W 22 St & 10 Ave,40.74691959,-74.00451887,521,8 Ave & W 31 St,40.75044999,-73.99481051,18105,Subscriber,1974,1,10011
425,2014-02-01,2014-02-01T10:22:22.000-05:00,410,Suffolk St & Stanton St,40.72066442,-73.98517977,531,Forsyth St & Broome St,40.71893904,-73.99266288,20602,Subscriber,1977,1,10002
1390,2014-02-01,2014-02-01T10:48:22.000-05:00,501,FDR Drive & E 35 St,40.744219,-73.97121214,447,8 Ave & W 52 St,40.76370739,-73.9851615,16925,Subscriber,1950,1,10016
562,2014-02-01,2014-02-01T10:44:20.000-05:00,458,11 Ave & W 27 St,40.751396,-74.005226,466,W 25 St & 6 Ave,40.74395411,-73.99144871,18884,Subscriber,1958,1,10001
281,2014-02-01,2014-02-01T10:41:18.000-05:00,439,E 4 St & 2 Ave,40.7262807,-73.98978041,483,E 12 St & 3 Ave,40.73223272,-73.98889957,20348,Subscriber,1967,2,10003
249,2014-02-01,2014-02-01T10:57:59.000-05:00,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,271,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,17982,Subscriber,1976,2,11205
1268,2014-02-01,2014-02-01T11:43:50.000-05:00,275,Washington Ave & Greene Ave,40.68650065,-73.96563307,275,Washington Ave & Greene Ave,40.68650065,-73.96563307,17239,Subscriber,1958,2,11238
1370,2014-02-01,2014-02-01T11:52:04.000-05:00,458,11 Ave & W 27 St,40.751396,-74.005226,2008,Little West St & 1 Pl,40.70569254,-74.01677685,19224,Subscriber,1986,2,10001
1447,2014-02-01,2014-02-01T11:55:52.000-05:00,467,Dean St & 4 Ave,40.68312489,-73.97895137,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,20964,Subscriber,1980,2,11217
289,2014-02-01,2014-02-01T11:48:16.000-05:00,495,W 47 St & 10 Ave,40.76269882,-73.99301222,173,Broadway & W 49 St,40.76064679,-73.98442659,19700,Subscriber,1984,1,10036
336,2014-02-01,2014-02-01T12:02:45.000-05:00,2000,Front St & Washington St,40.70255088,-73.98940236,233,Joralemon St & Adams St,40.69246277,-73.98963911,18536,Subscriber,1970,1,11201
520,2014-02-01,2014-02-01T12:06:01.000-05:00,496,E 16 St & 5 Ave,40.73726186,-73.99238967,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,19392,Subscriber,1983,1,10003
776,2014-02-01,2014-02-01T12:16:24.000-05:00,377,6 Ave & Canal St,40.72243797,-74.00566443,417,Barclay St & Church St,40.71291224,-74.01020234,18644,Subscriber,1982,2,10013
423,2014-02-01,2014-02-01T12:19:38.000-05:00,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,168,W 18 St & 6 Ave,40.73971301,-73.99456405,21088,Subscriber,1974,2,10014
188,2014-02-01,2014-02-01T12:42:53.000-05:00,435,W 21 St & 6 Ave,40.74173969,-73.99415556,509,9 Ave & W 22 St,40.7454973,-74.00197139,21272,Subscriber,1972,1,10011
415,2014-02-01,2014-02-01T13:05:27.000-05:00,334,W 20 St & 7 Ave,40.74238787,-73.99726235,212,W 16 St & The High Line,40.74334935,-74.00681753,17044,Subscriber,1980,1,10011
346,2014-02-01,2014-02-01T13:06:11.000-05:00,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,293,Lafayette St & E 8 St,40.73028666,-73.9907647,18917,Subscriber,1979,1,10012
266,2014-02-01,2014-02-01T13:10:09.000-05:00,439,E 4 St & 2 Ave,40.7262807,-73.98978041,251,Mott St & Prince St,40.72317958,-73.99480012,19649,Subscriber,1974,1,10003
570,2014-02-01,2014-02-01T13:17:44.000-05:00,224,Spruce St & Nassau St,40.71146364,-74.00552427,268,Howard St & Centre St,40.71910537,-73.99973337,15615,Subscriber,1983,2,10038
448,2014-02-01,2014-02-01T13:19:37.000-05:00,499,Broadway & W 60 St,40.76915505,-73.98191841,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,15842,Subscriber,1966,1,10023
207,2014-02-01,2014-02-01T13:20:26.000-05:00,446,W 24 St & 7 Ave,40.74487634,-73.99529885,509,9 Ave & W 22 St,40.7454973,-74.00197139,20249,Subscriber,1973,1,10001
692,2014-02-01,2014-02-01T13:32:45.000-05:00,528,2 Ave & E 31 St,40.74290902,-73.97706058,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,17888,Subscriber,1985,2,10016
1659,2014-02-01,2014-02-01T13:54:02.000-05:00,471,Grand St & Havemeyer St,40.71286844,-73.95698119,293,Lafayette St & E 8 St,40.73028666,-73.9907647,16043,Subscriber,1992,1,11211
