tripduration,temp_res,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,spat_res
656,2014-02-01,2014-02-01T02:15:51.000-05:00,357,E 11 St & Broadway,40.73261787,-73.99158043,247,Perry St & Bleecker St,40.73535398,-74.00483091,14673,Subscriber,1983,1,10003
251,2014-02-01,2014-02-01T06:27:05.000-05:00,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,289,Monroe St & Classon Ave,40.6845683,-73.95881081,18096,Subscriber,1977,1,11216
327,2014-02-01,2014-02-01T07:02:21.000-05:00,386,Centre St & Worth St,40.71494807,-74.00234482,417,Barclay St & Church St,40.71291224,-74.01020234,20298,Subscriber,1958,1,10007
125,2014-02-01,2014-02-01T08:22:59.000-05:00,503,E 20 St & Park Ave,40.73827428,-73.98751968,285,Broadway & E 14 St,40.73454567,-73.99074142,20065,Subscriber,1973,1,10003
403,2014-02-01,2014-02-01T08:43:28.000-05:00,402,Broadway & E 22 St,40.7403432,-73.98955109,434,9 Ave & W 18 St,40.74317449,-74.00366443,15457,Subscriber,1985,2,10010
341,2014-02-01,2014-02-01T09:29:31.000-05:00,237,E 11 St & 2 Ave,40.73047309,-73.98672378,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,16999,Subscriber,1973,2,10003
421,2014-02-01,2014-02-01T09:36:34.000-05:00,297,E 15 St & 3 Ave,40.734232,-73.986923,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,14877,Subscriber,1984,2,10003
992,2014-02-01,2014-02-01T09:47:01.000-05:00,495,W 47 St & 10 Ave,40.76269882,-73.99301222,127,Barrow St & Hudson St,40.73172428,-74.00674436,15048,Subscriber,1979,1,10036
400,2014-02-01,2014-02-01T09:40:06.000-05:00,116,W 17 St & 8 Ave,40.74177603,-74.00149746,442,W 27 St & 7 Ave,40.746647,-73.993915,17757,Subscriber,1977,1,10011
263,2014-02-01,2014-02-01T09:44:06.000-05:00,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,375,Mercer St & Bleecker St,40.72679454,-73.99695094,16727,Subscriber,1993,1,10011
335,2014-02-01,2014-02-01T09:51:42.000-05:00,445,E 10 St & Avenue A,40.72740794,-73.98142006,293,Lafayette St & E 8 St,40.73028666,-73.9907647,19378,Subscriber,1983,1,10009
533,2014-02-01,2014-02-01T10:16:39.000-05:00,382,University Pl & E 14 St,40.73492695,-73.99200509,505,6 Ave & W 33 St,40.74901271,-73.98848395,19155,Subscriber,1957,2,10003
270,2014-02-01,2014-02-01T10:12:49.000-05:00,445,E 10 St & Avenue A,40.72740794,-73.98142006,293,Lafayette St & E 8 St,40.73028666,-73.9907647,16181,Subscriber,1988,1,10009
335,2014-02-01,2014-02-01T11:05:49.000-05:00,417,Barclay St & Church St,40.71291224,-74.01020234,306,Cliff St & Fulton St,40.70823502,-74.00530063,19331,Subscriber,1991,1,10007
324,2014-02-01,2014-02-01T11:12:08.000-05:00,278,Concord St & Bridge St,40.69766564,-73.98476437,314,Montague St & Clinton St,40.69424674,-73.99215922,19276,Subscriber,1984,2,11201
2333,2014-02-01,2014-02-01T11:55:41.000-05:00,260,Broad St & Bridge St,40.70365182,-74.01167797,247,Perry St & Bleecker St,40.73535398,-74.00483091,16926,Customer,\N,0,10004
1057,2014-02-01,2014-02-01T12:09:27.000-05:00,2009,Catherine St & Monroe St,40.71117444,-73.99682619,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,16557,Subscriber,1989,2,10038
322,2014-02-01,2014-02-01T11:57:54.000-05:00,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,152,Warren St & Church St,40.71473993,-74.00910627,19097,Subscriber,1947,1,10282
754,2014-02-01,2014-02-01T12:08:04.000-05:00,326,E 11 St & 1 Ave,40.72953837,-73.98426726,212,W 16 St & The High Line,40.74334935,-74.00681753,18934,Subscriber,1978,1,10003
241,2014-02-01,2014-02-01T12:09:00.000-05:00,361,Allen St & Hester St,40.71605866,-73.99190759,408,Market St & Cherry St,40.71076228,-73.99400398,17838,Subscriber,1955,1,10002
715,2014-02-01,2014-02-01T12:42:45.000-05:00,474,5 Ave & E 29 St,40.7451677,-73.98683077,404,9 Ave & W 14 St,40.7405826,-74.00550867,17653,Subscriber,1959,2,10016
