tripduration,temp_res,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,spat_res
414,2014-02-01,2014-02-01T00:42:18.000-05:00,405,Washington St & Gansevoort St,40.739323,-74.008119,347,W Houston St & Hudson St,40.72873888,-74.00748842,20724,Subscriber,1989,1,10014
554,2014-02-01,2014-02-01T00:59:53.000-05:00,293,Lafayette St & E 8 St,40.73028666,-73.9907647,519,Pershing Square N,40.75188406,-73.97770164,21458,Subscriber,1978,1,10003
999,2014-02-01,2014-02-01T08:20:25.000-05:00,174,E 25 St & 1 Ave,40.7381765,-73.97738662,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,17969,Subscriber,1983,1,10016
600,2014-02-01,2014-02-01T09:17:08.000-05:00,160,E 37 St & Lexington Ave,40.748238,-73.978311,352,W 56 St & 6 Ave,40.76340613,-73.97722479,14872,Subscriber,1983,1,10016
1172,2014-02-01,2014-02-01T10:17:54.000-05:00,128,MacDougal St & Prince St,40.72710258,-74.00297088,524,W 43 St & 6 Ave,40.75527307,-73.98316936,21147,Subscriber,1979,2,10014
775,2014-02-01,2014-02-01T10:45:53.000-05:00,411,E 6 St & Avenue D,40.72228087,-73.97668709,483,E 12 St & 3 Ave,40.73223272,-73.98889957,20034,Subscriber,1961,1,10009
557,2014-02-01,2014-02-01T11:07:24.000-05:00,394,E 9 St & Avenue C,40.72521311,-73.97768752,439,E 4 St & 2 Ave,40.7262807,-73.98978041,20822,Subscriber,1986,2,10009
961,2014-02-01,2014-02-01T11:25:44.000-05:00,173,Broadway & W 49 St,40.76064679,-73.98442659,352,W 56 St & 6 Ave,40.76340613,-73.97722479,17600,Subscriber,1983,1,10019
1373,2014-02-01,2014-02-01T11:38:39.000-05:00,2000,Front St & Washington St,40.70255088,-73.98940236,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,18213,Customer,\N,0,11201
459,2014-02-01,2014-02-01T11:30:44.000-05:00,498,Broadway & W 32 St,40.74854862,-73.98808416,519,Pershing Square N,40.75188406,-73.97770164,21246,Subscriber,1979,1,10001
525,2014-02-01,2014-02-01T11:42:56.000-05:00,474,5 Ave & E 29 St,40.7451677,-73.98683077,462,W 22 St & 10 Ave,40.74691959,-74.00451887,17807,Subscriber,1978,1,10016
1271,2014-02-01,2014-02-01T12:01:15.000-05:00,290,2 Ave & E 58 St,40.76020258,-73.96478473,444,Broadway & W 24 St,40.7423543,-73.98915076,20256,Subscriber,1972,1,10022
109,2014-02-01,2014-02-01T11:44:07.000-05:00,498,Broadway & W 32 St,40.74854862,-73.98808416,474,5 Ave & E 29 St,40.7451677,-73.98683077,16669,Subscriber,1980,1,10001
428,2014-02-01,2014-02-01T12:10:53.000-05:00,492,W 33 St & 7 Ave,40.75019995,-73.99093085,402,Broadway & E 22 St,40.7403432,-73.98955109,20166,Subscriber,1984,2,10001
2116,2014-02-01,2014-02-01T12:53:53.000-05:00,386,Centre St & Worth St,40.71494807,-74.00234482,259,South St & Whitehall St,40.70122128,-74.01234218,16142,Customer,\N,0,10007
181,2014-02-01,2014-02-01T12:22:34.000-05:00,402,Broadway & E 22 St,40.7403432,-73.98955109,503,E 20 St & Park Ave,40.73827428,-73.98751968,20166,Subscriber,1984,2,10010
1102,2014-02-01,2014-02-01T12:57:57.000-05:00,285,Broadway & E 14 St,40.73454567,-73.99074142,146,Hudson St & Reade St,40.71625008,-74.0091059,16166,Subscriber,1956,1,10003
862,2014-02-01,2014-02-01T13:24:04.000-05:00,498,Broadway & W 32 St,40.74854862,-73.98808416,470,W 20 St & 8 Ave,40.74345335,-74.00004031,15069,Subscriber,1978,1,10001
990,2014-02-01,2014-02-01T13:29:19.000-05:00,473,Rivington St & Chrystie St,40.72110063,-73.9919254,358,Christopher St & Greenwich St,40.73291553,-74.00711384,16860,Subscriber,1967,1,10002
264,2014-02-01,2014-02-01T13:21:16.000-05:00,453,W 22 St & 8 Ave,40.74475148,-73.99915362,462,W 22 St & 10 Ave,40.74691959,-74.00451887,19620,Subscriber,1986,1,10011
517,2014-02-01,2014-02-01T13:26:54.000-05:00,536,1 Ave & E 30 St,40.74144387,-73.97536082,402,Broadway & E 22 St,40.7403432,-73.98955109,21474,Subscriber,1983,2,10016
1941,2014-02-01,2014-02-01T13:51:58.000-05:00,259,South St & Whitehall St,40.70122128,-74.01234218,501,FDR Drive & E 35 St,40.744219,-73.97121214,18603,Subscriber,1984,1,10004
265,2014-02-01,2014-02-01T13:44:45.000-05:00,473,Rivington St & Chrystie St,40.72110063,-73.9919254,377,6 Ave & Canal St,40.72243797,-74.00566443,21128,Subscriber,1980,1,10002
1889,2014-02-01,2014-02-01T14:30:49.000-05:00,514,12 Ave & W 40 St,40.76087502,-74.00277668,415,Pearl St & Hanover Square,40.7047177,-74.00926027,15044,Subscriber,1992,1,10019
581,2014-02-01,2014-02-01T14:20:29.000-05:00,526,E 33 St & 5 Ave,40.74765947,-73.98490707,325,E 19 St & 3 Ave,40.73624527,-73.98473765,17666,Subscriber,1973,1,10016
1365,2014-02-01,2014-02-01T14:37:06.000-05:00,254,W 11 St & 6 Ave,40.73532427,-73.99800419,518,E 39 St & 2 Ave,40.74780373,-73.9734419,20529,Subscriber,1984,2,10011
931,2014-02-01,2014-02-01T14:35:59.000-05:00,257,Lispenard St & Broadway,40.71939226,-74.00247214,393,E 5 St & Avenue C,40.72299208,-73.97995466,20864,Subscriber,1983,1,10013
373,2014-02-01,2014-02-01T14:46:28.000-05:00,455,1 Ave & E 44 St,40.75001986,-73.96905301,465,Broadway & W 41 St,40.75513557,-73.98658032,15383,Subscriber,1977,1,10017
324,2014-02-01,2014-02-01T14:51:11.000-05:00,229,Great Jones St,40.72743423,-73.99379025,475,E 16 St & Irving Pl,40.73524276,-73.98758561,19229,Subscriber,1979,1,10012
224,2014-02-01,2014-02-01T14:50:10.000-05:00,499,Broadway & W 60 St,40.76915505,-73.98191841,423,W 54 St & 9 Ave,40.76584941,-73.98690506,19028,Subscriber,1987,1,10023
786,2014-02-01,2014-02-01T15:33:58.000-05:00,358,Christopher St & Greenwich St,40.73291553,-74.00711384,435,W 21 St & 6 Ave,40.74173969,-73.99415556,17836,Subscriber,1957,1,10014
310,2014-02-01,2014-02-01T15:27:54.000-05:00,432,E 7 St & Avenue A,40.72621788,-73.98379855,293,Lafayette St & E 8 St,40.73028666,-73.9907647,17717,Subscriber,1985,1,10009
539,2014-02-01,2014-02-01T15:33:46.000-05:00,529,W 42 St & 8 Ave,40.7575699,-73.99098507,479,9 Ave & W 45 St,40.76019252,-73.9912551,14741,Subscriber,1983,1,10036
692,2014-02-01,2014-02-01T15:48:22.000-05:00,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,391,Clark St & Henry St,40.69760127,-73.99344559,18826,Subscriber,1970,1,11201
711,2014-02-01,2014-02-01T15:52:26.000-05:00,346,Bank St & Hudson St,40.73652889,-74.00618026,459,W 20 St & 11 Ave,40.746745,-74.007756,14631,Subscriber,1978,1,10014
510,2014-02-01,2014-02-01T16:05:33.000-05:00,313,Washington Ave & Park Ave,40.69610226,-73.96751037,2000,Front St & Washington St,40.70255088,-73.98940236,20997,Subscriber,1983,2,11205
395,2014-02-01,2014-02-01T16:07:17.000-05:00,521,8 Ave & W 31 St,40.75044999,-73.99481051,509,9 Ave & W 22 St,40.7454973,-74.00197139,18763,Subscriber,1983,1,10001
149,2014-02-01,2014-02-01T16:17:02.000-05:00,497,E 17 St & Broadway,40.73704984,-73.99009296,497,E 17 St & Broadway,40.73704984,-73.99009296,20125,Customer,\N,0,10003
339,2014-02-01,2014-02-01T16:53:43.000-05:00,341,Stanton St & Mangin St,40.71782143,-73.97628939,311,Norfolk St & Broome St,40.7172274,-73.98802084,20278,Subscriber,1962,1,10002
451,2014-02-01,2014-02-01T17:17:29.000-05:00,2004,6 Ave & Broome St,40.724399,-74.004704,147,Greenwich St & Warren St,40.71542197,-74.01121978,16787,Subscriber,1970,1,10013
931,2014-02-01,2014-02-01T18:03:35.000-05:00,251,Mott St & Prince St,40.72317958,-73.99480012,511,E 14 St & Avenue B,40.72938685,-73.97772429,14647,Subscriber,1988,2,10012
782,2014-02-01,2014-02-01T18:09:23.000-05:00,526,E 33 St & 5 Ave,40.74765947,-73.98490707,357,E 11 St & Broadway,40.73261787,-73.99158043,18782,Subscriber,1984,2,10016
