tripduration,temp_res,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,spat_res
619,2014-02-01,2014-02-01T00:37:00.000-05:00,326,E 11 St & 1 Ave,40.72953837,-73.98426726,295,Pike St & E Broadway,40.71406667,-73.99293911,20774,Subscriber,1976,1,10003
399,2014-02-01,2014-02-01T00:58:23.000-05:00,528,2 Ave & E 31 St,40.74290902,-73.97706058,504,1 Ave & E 15 St,40.73221853,-73.98165557,17727,Subscriber,1990,1,10016
405,2014-02-01,2014-02-01T01:44:24.000-05:00,312,Allen St & E Houston St,40.722055,-73.989111,2009,Catherine St & Monroe St,40.71117444,-73.99682619,21216,Subscriber,1978,1,10002
86,2014-02-01,2014-02-01T04:14:52.000-05:00,405,Washington St & Gansevoort St,40.739323,-74.008119,405,Washington St & Gansevoort St,40.739323,-74.008119,20867,Subscriber,1985,1,10014
444,2014-02-01,2014-02-01T07:59:37.000-05:00,428,E 3 St & 1 Ave,40.72467721,-73.98783413,487,E 20 St & FDR Drive,40.73314259,-73.97573881,17494,Subscriber,1987,1,10003
332,2014-02-01,2014-02-01T08:04:44.000-05:00,476,E 31 St & 3 Ave,40.74394314,-73.97966069,444,Broadway & W 24 St,40.7423543,-73.98915076,19171,Subscriber,1975,1,10016
639,2014-02-01,2014-02-01T08:43:35.000-05:00,466,W 25 St & 6 Ave,40.74395411,-73.99144871,488,W 39 St & 9 Ave,40.75645824,-73.99372222,16796,Subscriber,1974,2,10010
382,2014-02-01,2014-02-01T09:38:26.000-05:00,280,E 10 St & 5 Ave,40.73331967,-73.99510132,326,E 11 St & 1 Ave,40.72953837,-73.98426726,20585,Subscriber,1991,2,10003
331,2014-02-01,2014-02-01T10:24:12.000-05:00,325,E 19 St & 3 Ave,40.73624527,-73.98473765,237,E 11 St & 2 Ave,40.73047309,-73.98672378,16014,Subscriber,1977,1,10003
1624,2014-02-01,2014-02-01T10:50:54.000-05:00,518,E 39 St & 2 Ave,40.74780373,-73.9734419,225,W 14 St & The High Line,40.74195138,-74.00803013,19385,Subscriber,1970,1,10016
853,2014-02-01,2014-02-01T11:10:42.000-05:00,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,266,Avenue D & E 8 St,40.72368361,-73.97574813,16731,Customer,\N,0,10003
480,2014-02-01,2014-02-01T11:13:18.000-05:00,401,Allen St & Rivington St,40.72019576,-73.98997825,293,Lafayette St & E 8 St,40.73028666,-73.9907647,18217,Subscriber,1985,2,10002
329,2014-02-01,2014-02-01T11:32:20.000-05:00,515,W 43 St & 10 Ave,40.76009437,-73.99461843,450,W 49 St & 8 Ave,40.76227205,-73.98788205,20711,Subscriber,1965,2,10036
145,2014-02-01,2014-02-01T11:31:40.000-05:00,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,116,W 17 St & 8 Ave,40.74177603,-74.00149746,19590,Subscriber,1982,1,10014
5943,2014-02-01,2014-02-01T13:10:39.000-05:00,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,441,E 52 St & 2 Ave,40.756014,-73.967416,15840,Customer,\N,0,10019
376,2014-02-01,2014-02-01T11:53:33.000-05:00,453,W 22 St & 8 Ave,40.74475148,-73.99915362,492,W 33 St & 7 Ave,40.75019995,-73.99093085,15511,Subscriber,1955,1,10011
659,2014-02-01,2014-02-01T12:01:05.000-05:00,393,E 5 St & Avenue C,40.72299208,-73.97995466,402,Broadway & E 22 St,40.7403432,-73.98955109,19311,Subscriber,1971,1,10009
372,2014-02-01,2014-02-01T12:09:08.000-05:00,402,Broadway & E 22 St,40.7403432,-73.98955109,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,16703,Subscriber,1963,2,10010
326,2014-02-01,2014-02-01T12:15:10.000-05:00,508,W 46 St & 11 Ave,40.76341379,-73.99667444,488,W 39 St & 9 Ave,40.75645824,-73.99372222,20970,Subscriber,1986,1,10036
1531,2014-02-01,2014-02-01T12:36:53.000-05:00,312,Allen St & E Houston St,40.722055,-73.989111,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,17849,Subscriber,1970,1,10002
3479,2014-02-01,2014-02-01T13:10:35.000-05:00,476,E 31 St & 3 Ave,40.74394314,-73.97966069,499,Broadway & W 60 St,40.76915505,-73.98191841,18160,Customer,\N,0,10016
177,2014-02-01,2014-02-01T12:37:27.000-05:00,485,W 37 St & 5 Ave,40.75038009,-73.98338988,422,W 59 St & 10 Ave,40.770513,-73.988038,14819,Subscriber,1970,1,10018
369,2014-02-01,2014-02-01T12:44:29.000-05:00,477,W 41 St & 8 Ave,40.75640548,-73.9900262,524,W 43 St & 6 Ave,40.75527307,-73.98316936,17497,Subscriber,1977,1,10018
