tripduration,temp_res,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,spat_res
229,2014-02-01,2014-02-01T00:29:16.000-05:00,312,Allen St & E Houston St,40.722055,-73.989111,361,Allen St & Hester St,40.71605866,-73.99190759,17838,Subscriber,1983,1,10002
1136,2014-02-01,2014-02-01T00:51:44.000-05:00,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,167,E 39 St & 3 Ave,40.7489006,-73.97604882,21208,Subscriber,1988,1,10012
178,2014-02-01,2014-02-01T02:36:52.000-05:00,329,Greenwich St & N Moore St,40.72043411,-74.01020609,147,Greenwich St & Warren St,40.71542197,-74.01121978,18790,Subscriber,1956,1,10013
589,2014-02-01,2014-02-01T05:07:58.000-05:00,379,W 31 St & 7 Ave,40.749156,-73.9916,536,1 Ave & E 30 St,40.74144387,-73.97536082,16979,Subscriber,1955,1,10001
820,2014-02-01,2014-02-01T07:48:45.000-05:00,167,E 39 St & 3 Ave,40.7489006,-73.97604882,388,W 26 St & 10 Ave,40.749717753,-74.002950346,21208,Subscriber,1988,1,10016
987,2014-02-01,2014-02-01T09:51:08.000-05:00,514,12 Ave & W 40 St,40.76087502,-74.00277668,454,E 51 St & 1 Ave,40.75455731,-73.96592976,15838,Subscriber,1985,1,10019
228,2014-02-01,2014-02-01T10:06:06.000-05:00,174,E 25 St & 1 Ave,40.7381765,-73.97738662,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,19003,Subscriber,1975,1,10016
438,2014-02-01,2014-02-01T10:20:28.000-05:00,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,435,W 21 St & 6 Ave,40.74173969,-73.99415556,19327,Subscriber,1975,1,10014
1584,2014-02-01,2014-02-01T11:30:33.000-05:00,310,State St & Smith St,40.68926942,-73.98912867,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,19782,Subscriber,1970,1,11201
1157,2014-02-01,2014-02-01T11:44:26.000-05:00,507,E 25 St & 2 Ave,40.73912601,-73.97973776,146,Hudson St & Reade St,40.71625008,-74.0091059,20645,Subscriber,1988,1,10010
460,2014-02-01,2014-02-01T11:34:24.000-05:00,466,W 25 St & 6 Ave,40.74395411,-73.99144871,345,W 13 St & 6 Ave,40.73649403,-73.99704374,18828,Subscriber,1972,1,10010
1911,2014-02-01,2014-02-01T12:01:12.000-05:00,449,W 52 St & 9 Ave,40.76461837,-73.98789473,254,W 11 St & 6 Ave,40.73532427,-73.99800419,15799,Subscriber,1986,1,10019
1306,2014-02-01,2014-02-01T12:02:00.000-05:00,2008,Little West St & 1 Pl,40.70569254,-74.01677685,405,Washington St & Gansevoort St,40.739323,-74.008119,18863,Customer,\N,0,10280
173,2014-02-01,2014-02-01T11:43:14.000-05:00,376,John St & William St,40.70862144,-74.00722156,415,Pearl St & Hanover Square,40.7047177,-74.00926027,18670,Subscriber,1987,2,10038
634,2014-02-01,2014-02-01T12:13:49.000-05:00,448,W 37 St & 10 Ave,40.75660359,-73.9979009,212,W 16 St & The High Line,40.74334935,-74.00681753,15875,Subscriber,1983,2,10018
788,2014-02-01,2014-02-01T12:19:40.000-05:00,352,W 56 St & 6 Ave,40.76340613,-73.97722479,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,18925,Customer,\N,0,10019
365,2014-02-01,2014-02-01T12:26:31.000-05:00,330,Reade St & Broadway,40.71450451,-74.00562789,2010,Grand St & Greene St,40.72165481,-74.00234737,20795,Subscriber,1961,1,10007
258,2014-02-01,2014-02-01T12:29:52.000-05:00,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,19110,Subscriber,1981,1,11238
1199,2014-02-01,2014-02-01T12:59:21.000-05:00,251,Mott St & Prince St,40.72317958,-73.99480012,435,W 21 St & 6 Ave,40.74173969,-73.99415556,20140,Subscriber,1950,2,10012
460,2014-02-01,2014-02-01T12:50:09.000-05:00,500,Broadway & W 51 St,40.76228826,-73.98336183,499,Broadway & W 60 St,40.76915505,-73.98191841,14543,Subscriber,1948,2,10019
588,2014-02-01,2014-02-01T12:53:04.000-05:00,375,Mercer St & Bleecker St,40.72679454,-73.99695094,393,E 5 St & Avenue C,40.72299208,-73.97995466,19688,Subscriber,1968,1,10012
90,2014-02-01,2014-02-01T12:47:54.000-05:00,195,Liberty St & Broadway,40.70905623,-74.01043382,195,Liberty St & Broadway,40.70905623,-74.01043382,19804,Subscriber,1976,1,10005
1147,2014-02-01,2014-02-01T13:15:54.000-05:00,520,W 52 St & 5 Ave,40.75992262,-73.97648516,447,8 Ave & W 52 St,40.76370739,-73.9851615,16743,Subscriber,1990,2,10019
1809,2014-02-01,2014-02-01T13:30:52.000-05:00,382,University Pl & E 14 St,40.73492695,-73.99200509,285,Broadway & E 14 St,40.73454567,-73.99074142,14883,Subscriber,1979,1,10003
873,2014-02-01,2014-02-01T13:18:57.000-05:00,405,Washington St & Gansevoort St,40.739323,-74.008119,466,W 25 St & 6 Ave,40.74395411,-73.99144871,16174,Subscriber,1957,1,10014
248,2014-02-01,2014-02-01T13:19:06.000-05:00,511,E 14 St & Avenue B,40.72938685,-73.97772429,266,Avenue D & E 8 St,40.72368361,-73.97574813,18965,Subscriber,1984,1,10009
1444,2014-02-01,2014-02-01T13:53:58.000-05:00,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,523,W 38 St & 8 Ave,40.75466591,-73.99138152,17069,Subscriber,1983,1,11201
2918,2014-02-01,2014-02-01T14:18:35.000-05:00,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,20536,Subscriber,1987,2,11249
339,2014-02-01,2014-02-01T13:50:59.000-05:00,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,335,Washington Pl & Broadway,40.72903917,-73.99404649,18732,Subscriber,1965,1,10014
198,2014-02-01,2014-02-01T13:52:47.000-05:00,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,285,Broadway & E 14 St,40.73454567,-73.99074142,20256,Subscriber,1989,1,10003
362,2014-02-01,2014-02-01T14:08:06.000-05:00,223,W 13 St & 7 Ave,40.73781509,-73.99994661,347,W Houston St & Hudson St,40.72873888,-74.00748842,19875,Subscriber,1969,2,10011
208,2014-02-01,2014-02-01T14:07:06.000-05:00,462,W 22 St & 10 Ave,40.74691959,-74.00451887,463,9 Ave & W 16 St,40.74206539,-74.00443172,14771,Subscriber,1970,1,10011
311,2014-02-01,2014-02-01T14:14:52.000-05:00,223,W 13 St & 7 Ave,40.73781509,-73.99994661,127,Barrow St & Hudson St,40.73172428,-74.00674436,19992,Subscriber,1948,1,10011
2188,2014-02-01,2014-02-01T14:48:56.000-05:00,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,457,Broadway & W 58 St,40.76695317,-73.98169333,15079,Subscriber,1979,1,83
439,2014-02-01,2014-02-01T14:30:33.000-05:00,168,W 18 St & 6 Ave,40.73971301,-73.99456405,461,E 20 St & 2 Ave,40.73587678,-73.98205027,17656,Subscriber,1984,2,10011
673,2014-02-01,2014-02-01T14:56:10.000-05:00,303,Mercer St & Spring St,40.72362738,-73.99949601,432,E 7 St & Avenue A,40.72621788,-73.98379855,20093,Subscriber,1975,1,10012
