tripduration,temp_res,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,spat_res
379,2014-02-01,2014-02-01T00:53:34.000-05:00,402,Broadway & E 22 St,40.7403432,-73.98955109,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,21287,Subscriber,1988,2,10010
268,2014-02-01,2014-02-01T08:22:52.000-05:00,128,MacDougal St & Prince St,40.72710258,-74.00297088,254,W 11 St & 6 Ave,40.73532427,-73.99800419,17774,Subscriber,1984,2,10014
994,2014-02-01,2014-02-01T08:55:22.000-05:00,174,E 25 St & 1 Ave,40.7381765,-73.97738662,330,Reade St & Broadway,40.71450451,-74.00562789,19419,Subscriber,1976,2,10016
239,2014-02-01,2014-02-01T08:45:34.000-05:00,150,E 2 St & Avenue C,40.7208736,-73.98085795,428,E 3 St & 1 Ave,40.72467721,-73.98783413,17747,Subscriber,1984,1,10009
236,2014-02-01,2014-02-01T09:19:04.000-05:00,447,8 Ave & W 52 St,40.76370739,-73.9851615,520,W 52 St & 5 Ave,40.75992262,-73.97648516,16743,Subscriber,1968,1,10019
762,2014-02-01,2014-02-01T09:35:01.000-05:00,462,W 22 St & 10 Ave,40.74691959,-74.00451887,335,Washington Pl & Broadway,40.72903917,-73.99404649,17987,Subscriber,1962,1,10011
799,2014-02-01,2014-02-01T09:46:54.000-05:00,302,Avenue D & E 3 St,40.72082834,-73.97793172,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,21002,Subscriber,1962,2,10009
217,2014-02-01,2014-02-01T09:56:55.000-05:00,412,Forsyth St & Canal St,40.7158155,-73.99422366,82,St James Pl & Pearl St,40.71117416,-74.00016545,19384,Subscriber,1970,1,10002
625,2014-02-01,2014-02-01T10:33:31.000-05:00,426,West St & Chambers St,40.71754834,-74.01322069,127,Barrow St & Hudson St,40.73172428,-74.00674436,18797,Subscriber,1982,2,10013
448,2014-02-01,2014-02-01T10:49:48.000-05:00,254,W 11 St & 6 Ave,40.73532427,-73.99800419,435,W 21 St & 6 Ave,40.74173969,-73.99415556,14631,Subscriber,1981,2,10011
