tripduration,temp_res,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,spat_res
335,2014-02-01,2014-02-01T01:21:37.000-05:00,531,Forsyth St & Broome St,40.71893904,-73.99266288,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,20258,Subscriber,1971,1,10002
747,2014-02-01,2014-02-01T02:04:57.000-05:00,334,W 20 St & 7 Ave,40.74238787,-73.99726235,439,E 4 St & 2 Ave,40.7262807,-73.98978041,18001,Subscriber,1981,1,10011
1073,2014-02-01,2014-02-01T07:29:19.000-05:00,462,W 22 St & 10 Ave,40.74691959,-74.00451887,403,E 2 St & 2 Ave,40.72502876,-73.99069656,17457,Subscriber,1985,2,10011
1466,2014-02-01,2014-02-01T08:38:47.000-05:00,361,Allen St & Hester St,40.71605866,-73.99190759,538,W 49 St & 5 Ave,40.75795248,-73.97787642,17844,Subscriber,1974,1,10002
813,2014-02-01,2014-02-01T08:43:54.000-05:00,79,Franklin St & W Broadway,40.71911552,-74.00666661,382,University Pl & E 14 St,40.73492695,-73.99200509,20526,Subscriber,1949,1,10013
224,2014-02-01,2014-02-01T08:39:13.000-05:00,345,W 13 St & 6 Ave,40.73649403,-73.99704374,435,W 21 St & 6 Ave,40.74173969,-73.99415556,15927,Subscriber,1983,2,10011
1920,2014-02-01,2014-02-01T09:43:04.000-05:00,518,E 39 St & 2 Ave,40.74780373,-73.9734419,229,Great Jones St,40.72743423,-73.99379025,17055,Customer,\N,0,10016
569,2014-02-01,2014-02-01T09:29:10.000-05:00,302,Avenue D & E 3 St,40.72082834,-73.97793172,361,Allen St & Hester St,40.71605866,-73.99190759,19454,Subscriber,1955,1,10009
420,2014-02-01,2014-02-01T09:31:14.000-05:00,475,E 16 St & Irving Pl,40.73524276,-73.98758561,345,W 13 St & 6 Ave,40.73649403,-73.99704374,20107,Subscriber,1941,1,10003
328,2014-02-01,2014-02-01T09:39:37.000-05:00,477,W 41 St & 8 Ave,40.75640548,-73.9900262,505,6 Ave & W 33 St,40.74901271,-73.98848395,17399,Subscriber,1990,1,10018
209,2014-02-01,2014-02-01T09:38:01.000-05:00,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,375,Mercer St & Bleecker St,40.72679454,-73.99695094,17880,Subscriber,1983,1,10012
194,2014-02-01,2014-02-01T10:03:01.000-05:00,291,Madison St & Montgomery St,40.713126,-73.984844,311,Norfolk St & Broome St,40.7172274,-73.98802084,16794,Subscriber,1980,1,10002
290,2014-02-01,2014-02-01T10:29:57.000-05:00,402,Broadway & E 22 St,40.7403432,-73.98955109,453,W 22 St & 8 Ave,40.74475148,-73.99915362,15009,Subscriber,1980,1,10010
2280,2014-02-01,2014-02-01T11:19:57.000-05:00,457,Broadway & W 58 St,40.76695317,-73.98169333,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,15840,Customer,\N,0,10019
1482,2014-02-01,2014-02-01T11:33:16.000-05:00,295,Pike St & E Broadway,40.71406667,-73.99293911,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,15599,Subscriber,1977,1,10002
197,2014-02-01,2014-02-01T11:19:05.000-05:00,349,Rivington St & Ridge St,40.71850211,-73.98329859,311,Norfolk St & Broome St,40.7172274,-73.98802084,17540,Subscriber,1989,1,10002
681,2014-02-01,2014-02-01T11:38:58.000-05:00,403,E 2 St & 2 Ave,40.72502876,-73.99069656,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,18488,Subscriber,1983,1,10003
