tripduration,temp_res,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,spat_res
853,2014-02-01,2014-02-01T00:39:28.000-05:00,410,Suffolk St & Stanton St,40.72066442,-73.98517977,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,14904,Subscriber,1991,1,10002
1164,2014-02-01,2014-02-01T00:51:43.000-05:00,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,167,E 39 St & 3 Ave,40.7489006,-73.97604882,17555,Subscriber,1963,2,10012
2181,2014-02-01,2014-02-01T01:09:25.000-05:00,505,6 Ave & W 33 St,40.74901271,-73.98848395,407,Henry St & Poplar St,40.700469,-73.991454,19903,Subscriber,1965,1,10001
309,2014-02-01,2014-02-01T02:23:01.000-05:00,312,Allen St & E Houston St,40.722055,-73.989111,433,E 13 St & Avenue A,40.72955361,-73.98057249,20951,Subscriber,1987,1,10002
687,2014-02-01,2014-02-01T07:07:53.000-05:00,266,Avenue D & E 8 St,40.72368361,-73.97574813,345,W 13 St & 6 Ave,40.73649403,-73.99704374,21040,Subscriber,1969,1,10009
629,2014-02-01,2014-02-01T08:19:00.000-05:00,495,W 47 St & 10 Ave,40.76269882,-73.99301222,490,8 Ave & W 33 St,40.751551,-73.993934,18320,Subscriber,1983,1,10036
892,2014-02-01,2014-02-01T08:40:15.000-05:00,266,Avenue D & E 8 St,40.72368361,-73.97574813,505,6 Ave & W 33 St,40.74901271,-73.98848395,20562,Subscriber,1982,1,10009
394,2014-02-01,2014-02-01T08:42:42.000-05:00,507,E 25 St & 2 Ave,40.73912601,-73.97973776,293,Lafayette St & E 8 St,40.73028666,-73.9907647,19850,Subscriber,1986,1,10010
576,2014-02-01,2014-02-01T09:36:57.000-05:00,285,Broadway & E 14 St,40.73454567,-73.99074142,439,E 4 St & 2 Ave,40.7262807,-73.98978041,15818,Subscriber,1960,1,10003
484,2014-02-01,2014-02-01T09:42:36.000-05:00,467,Dean St & 4 Ave,40.68312489,-73.97895137,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,16981,Subscriber,1979,1,11217
514,2014-02-01,2014-02-01T09:53:17.000-05:00,301,E 2 St & Avenue B,40.72217444,-73.98368779,293,Lafayette St & E 8 St,40.73028666,-73.9907647,19678,Subscriber,1973,1,10009
359,2014-02-01,2014-02-01T09:55:46.000-05:00,301,E 2 St & Avenue B,40.72217444,-73.98368779,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,21114,Subscriber,1991,1,10009
1893,2014-02-01,2014-02-01T10:29:13.000-05:00,245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,268,Howard St & Centre St,40.71910537,-73.99973337,19152,Subscriber,1989,2,11201
1064,2014-02-01,2014-02-01T10:50:04.000-05:00,482,W 15 St & 7 Ave,40.73935542,-73.99931783,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,17656,Subscriber,1982,2,10011
431,2014-02-01,2014-02-01T10:59:43.000-05:00,474,5 Ave & E 29 St,40.7451677,-73.98683077,521,8 Ave & W 31 St,40.75044999,-73.99481051,18604,Subscriber,1981,2,10016
1381,2014-02-01,2014-02-01T11:21:45.000-05:00,422,W 59 St & 10 Ave,40.770513,-73.988038,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,20996,Subscriber,1984,1,10019
519,2014-02-01,2014-02-01T11:12:45.000-05:00,303,Mercer St & Spring St,40.72362738,-73.99949601,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,19612,Subscriber,1946,2,10012
320,2014-02-01,2014-02-01T11:15:59.000-05:00,308,St James Pl & Oliver St,40.71307916,-73.99851193,315,South St & Gouverneur Ln,40.70355377,-74.00670227,15323,Subscriber,1967,1,10038
