tripduration,temp_res,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,spat_res
591,2014-02-01,2014-02-01T00:10:00.000-05:00,247,Perry St & Bleecker St,40.73535398,-74.00483091,251,Mott St & Prince St,40.72317958,-73.99480012,16281,Subscriber,1948,2,10014
784,2014-02-01,2014-02-01T02:00:09.000-05:00,489,10 Ave & W 28 St,40.75066386,-74.00176802,546,E 30 St & Park Ave S,40.74444921,-73.98303529,18899,Subscriber,1944,1,10001
798,2014-02-01,2014-02-01T04:34:52.000-05:00,358,Christopher St & Greenwich St,40.73291553,-74.00711384,401,Allen St & Rivington St,40.72019576,-73.98997825,17980,Subscriber,1981,1,10014
1546,2014-02-01,2014-02-01T06:27:24.000-05:00,492,W 33 St & 7 Ave,40.75019995,-73.99093085,137,E 56 St & Madison Ave,40.761628,-73.972924,18168,Subscriber,1975,2,10001
335,2014-02-01,2014-02-01T09:48:00.000-05:00,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,497,E 17 St & Broadway,40.73704984,-73.99009296,14778,Subscriber,1954,2,10010
710,2014-02-01,2014-02-01T10:12:31.000-05:00,326,E 11 St & 1 Ave,40.72953837,-73.98426726,440,E 45 St & 3 Ave,40.75255434,-73.97282625,19358,Subscriber,1983,1,10003
265,2014-02-01,2014-02-01T10:10:38.000-05:00,450,W 49 St & 8 Ave,40.76227205,-73.98788205,477,W 41 St & 8 Ave,40.75640548,-73.9900262,19738,Subscriber,1968,2,10019
404,2014-02-01,2014-02-01T10:53:58.000-05:00,523,W 38 St & 8 Ave,40.75466591,-73.99138152,493,W 45 St & 6 Ave,40.7568001,-73.98291153,16092,Subscriber,1961,1,10018
727,2014-02-01,2014-02-01T10:59:23.000-05:00,527,E 33 St & 1 Ave,40.74315566,-73.97434726,466,W 25 St & 6 Ave,40.74395411,-73.99144871,21247,Subscriber,1983,1,10016
433,2014-02-01,2014-02-01T11:07:53.000-05:00,250,Lafayette St & Jersey St,40.72456089,-73.99565293,285,Broadway & E 14 St,40.73454567,-73.99074142,20093,Subscriber,1983,1,10012
119,2014-02-01,2014-02-01T11:17:58.000-05:00,462,W 22 St & 10 Ave,40.74691959,-74.00451887,459,W 20 St & 11 Ave,40.746745,-74.007756,21319,Subscriber,1988,1,10011
369,2014-02-01,2014-02-01T12:22:35.000-05:00,310,State St & Smith St,40.68926942,-73.98912867,271,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,17375,Subscriber,1974,1,11201
1538,2014-02-01,2014-02-01T12:48:09.000-05:00,301,E 2 St & Avenue B,40.72217444,-73.98368779,361,Allen St & Hester St,40.71605866,-73.99190759,16825,Subscriber,1970,1,10009
442,2014-02-01,2014-02-01T12:58:04.000-05:00,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,237,E 11 St & 2 Ave,40.73047309,-73.98672378,16773,Subscriber,1979,2,10014
659,2014-02-01,2014-02-01T13:15:48.000-05:00,358,Christopher St & Greenwich St,40.73291553,-74.00711384,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,15370,Subscriber,1984,1,10014
432,2014-02-01,2014-02-01T13:21:48.000-05:00,404,9 Ave & W 14 St,40.7405826,-74.00550867,442,W 27 St & 7 Ave,40.746647,-73.993915,21002,Subscriber,1989,1,10014
1101,2014-02-01,2014-02-01T13:34:53.000-05:00,422,W 59 St & 10 Ave,40.770513,-73.988038,514,12 Ave & W 40 St,40.76087502,-74.00277668,14864,Subscriber,1984,2,10019
381,2014-02-01,2014-02-01T13:27:23.000-05:00,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,243,Fulton St & Rockwell Pl,40.687979,-73.978474,17015,Subscriber,1978,1,11238
318,2014-02-01,2014-02-01T13:29:17.000-05:00,422,W 59 St & 10 Ave,40.770513,-73.988038,500,Broadway & W 51 St,40.76228826,-73.98336183,19376,Subscriber,1976,1,10019
382,2014-02-01,2014-02-01T13:32:37.000-05:00,82,St James Pl & Pearl St,40.71117416,-74.00016545,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,15260,Subscriber,1983,1,10038
484,2014-02-01,2014-02-01T13:57:15.000-05:00,326,E 11 St & 1 Ave,40.72953837,-73.98426726,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,15308,Subscriber,1967,1,10003
681,2014-02-01,2014-02-01T14:08:48.000-05:00,466,W 25 St & 6 Ave,40.74395411,-73.99144871,445,E 10 St & Avenue A,40.72740794,-73.98142006,21247,Subscriber,1972,1,10010
244,2014-02-01,2014-02-01T14:04:45.000-05:00,497,E 17 St & Broadway,40.73704984,-73.99009296,435,W 21 St & 6 Ave,40.74173969,-73.99415556,20732,Subscriber,1983,1,10003
526,2014-02-01,2014-02-01T14:17:14.000-05:00,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,168,W 18 St & 6 Ave,40.73971301,-73.99456405,20353,Subscriber,1965,2,10012
269,2014-02-01,2014-02-01T14:21:13.000-05:00,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,500,Broadway & W 51 St,40.76228826,-73.98336183,20910,Subscriber,1980,1,10036
658,2014-02-01,2014-02-01T14:30:02.000-05:00,128,MacDougal St & Prince St,40.72710258,-74.00297088,116,W 17 St & 8 Ave,40.74177603,-74.00149746,19270,Subscriber,1984,1,10014
206,2014-02-01,2014-02-01T14:33:46.000-05:00,317,E 6 St & Avenue B,40.72453734,-73.98185424,150,E 2 St & Avenue C,40.7208736,-73.98085795,19156,Subscriber,1953,1,10009
650,2014-02-01,2014-02-01T14:53:27.000-05:00,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,260,Broad St & Bridge St,40.70365182,-74.01167797,17433,Subscriber,1961,1,10012
544,2014-02-01,2014-02-01T14:55:02.000-05:00,455,1 Ave & E 44 St,40.75001986,-73.96905301,137,E 56 St & Madison Ave,40.761628,-73.972924,15403,Subscriber,1976,1,10017
781,2014-02-01,2014-02-01T15:05:01.000-05:00,509,9 Ave & W 22 St,40.7454973,-74.00197139,497,E 17 St & Broadway,40.73704984,-73.99009296,19716,Subscriber,1982,1,10011
1379,2014-02-01,2014-02-01T15:15:11.000-05:00,127,Barrow St & Hudson St,40.73172428,-74.00674436,355,Bayard St & Baxter St,40.71602118,-73.99974372,20596,Subscriber,1959,2,10014
842,2014-02-01,2014-02-01T15:06:29.000-05:00,508,W 46 St & 11 Ave,40.76341379,-73.99667444,486,Broadway & W 29 St,40.7462009,-73.98855723,20315,Subscriber,1988,1,10036
2034,2014-02-01,2014-02-01T15:31:38.000-05:00,480,W 53 St & 10 Ave,40.76669671,-73.99061728,531,Forsyth St & Broome St,40.71893904,-73.99266288,20027,Subscriber,1986,1,10019
811,2014-02-01,2014-02-01T15:21:20.000-05:00,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,301,E 2 St & Avenue B,40.72217444,-73.98368779,19457,Subscriber,1947,1,10003
218,2014-02-01,2014-02-01T15:19:32.000-05:00,382,University Pl & E 14 St,40.73492695,-73.99200509,293,Lafayette St & E 8 St,40.73028666,-73.9907647,18753,Subscriber,1989,1,10003
268,2014-02-01,2014-02-01T15:24:06.000-05:00,531,Forsyth St & Broome St,40.71893904,-73.99266288,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,16436,Subscriber,1981,1,10002
1185,2014-02-01,2014-02-01T15:40:15.000-05:00,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,518,E 39 St & 2 Ave,40.74780373,-73.9734419,19569,Subscriber,1986,2,10012
1697,2014-02-01,2014-02-01T15:54:51.000-05:00,499,Broadway & W 60 St,40.76915505,-73.98191841,497,E 17 St & Broadway,40.73704984,-73.99009296,14553,Subscriber,1990,1,10023
361,2014-02-01,2014-02-01T15:33:55.000-05:00,322,Clinton St & Tillary St,40.696192,-73.991218,391,Clark St & Henry St,40.69760127,-73.99344559,19431,Subscriber,1941,1,11201
1639,2014-02-01,2014-02-01T15:57:05.000-05:00,376,John St & William St,40.70862144,-74.00722156,426,West St & Chambers St,40.71754834,-74.01322069,18061,Subscriber,1987,1,10038
2301,2014-02-01,2014-02-01T16:12:28.000-05:00,254,W 11 St & 6 Ave,40.73532427,-73.99800419,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,16660,Subscriber,1977,2,10011
666,2014-02-01,2014-02-01T15:50:39.000-05:00,391,Clark St & Henry St,40.69760127,-73.99344559,391,Clark St & Henry St,40.69760127,-73.99344559,17461,Subscriber,1990,1,11201
188,2014-02-01,2014-02-01T15:45:57.000-05:00,495,W 47 St & 10 Ave,40.76269882,-73.99301222,449,W 52 St & 9 Ave,40.76461837,-73.98789473,19686,Subscriber,1968,1,10036
228,2014-02-01,2014-02-01T15:53:38.000-05:00,128,MacDougal St & Prince St,40.72710258,-74.00297088,2010,Grand St & Greene St,40.72165481,-74.00234737,15807,Subscriber,1988,1,10014
155,2014-02-01,2014-02-01T16:00:18.000-05:00,427,State St,40.70251526,-74.01427023,427,State St,40.70251526,-74.01427023,16332,Subscriber,1984,1,10004
423,2014-02-01,2014-02-01T16:41:32.000-05:00,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,16010,Subscriber,1972,1,11205
1044,2014-02-01,2014-02-01T17:06:55.000-05:00,263,Elizabeth St & Hester St,40.71729,-73.996375,249,Harrison St & Hudson St,40.71870987,-74.0090009,16564,Subscriber,1983,1,10013
333,2014-02-01,2014-02-01T16:58:20.000-05:00,313,Washington Ave & Park Ave,40.69610226,-73.96751037,275,Washington Ave & Greene Ave,40.68650065,-73.96563307,20988,Subscriber,1981,1,11205
273,2014-02-01,2014-02-01T17:10:04.000-05:00,446,W 24 St & 7 Ave,40.74487634,-73.99529885,509,9 Ave & W 22 St,40.7454973,-74.00197139,14986,Subscriber,1964,1,10001
422,2014-02-01,2014-02-01T17:16:57.000-05:00,393,E 5 St & Avenue C,40.72299208,-73.97995466,229,Great Jones St,40.72743423,-73.99379025,16040,Subscriber,1990,1,10009
255,2014-02-01,2014-02-01T17:30:56.000-05:00,504,1 Ave & E 15 St,40.73221853,-73.98165557,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,17789,Subscriber,1977,1,10009
1114,2014-02-01,2014-02-01T18:06:46.000-05:00,496,E 16 St & 5 Ave,40.73726186,-73.99238967,515,W 43 St & 10 Ave,40.76009437,-73.99461843,20223,Subscriber,1981,2,10003
1011,2014-02-01,2014-02-01T18:09:01.000-05:00,137,E 56 St & Madison Ave,40.761628,-73.972924,305,E 58 St & 3 Ave,40.76095756,-73.96724467,18168,Subscriber,1959,1,10022
740,2014-02-01,2014-02-01T18:09:36.000-05:00,254,W 11 St & 6 Ave,40.73532427,-73.99800419,303,Mercer St & Spring St,40.72362738,-73.99949601,16514,Subscriber,1988,1,10011
