tripduration,temp_res,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,spat_res
500,2014-02-01,2014-02-01T00:45:23.000-05:00,521,8 Ave & W 31 St,40.75044999,-73.99481051,447,8 Ave & W 52 St,40.76370739,-73.9851615,17924,Subscriber,1972,1,10001
517,2014-02-01,2014-02-01T03:11:02.000-05:00,483,E 12 St & 3 Ave,40.73223272,-73.98889957,346,Bank St & Hudson St,40.73652889,-74.00618026,16551,Subscriber,1986,1,10003
893,2014-02-01,2014-02-01T08:29:15.000-05:00,279,Sands St & Gold St,40.69986937,-73.98271933,412,Forsyth St & Canal St,40.7158155,-73.99422366,20580,Subscriber,1955,1,11201
723,2014-02-01,2014-02-01T09:03:32.000-05:00,448,W 37 St & 10 Ave,40.75660359,-73.9979009,500,Broadway & W 51 St,40.76228826,-73.98336183,18270,Subscriber,1991,2,10018
598,2014-02-01,2014-02-01T09:56:37.000-05:00,127,Barrow St & Hudson St,40.73172428,-74.00674436,489,10 Ave & W 28 St,40.75066386,-74.00176802,14899,Subscriber,1981,1,10014
1318,2014-02-01,2014-02-01T10:10:40.000-05:00,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,311,Norfolk St & Broome St,40.7172274,-73.98802084,15769,Customer,\N,0,11249
355,2014-02-01,2014-02-01T10:37:38.000-05:00,428,E 3 St & 1 Ave,40.72467721,-73.98783413,263,Elizabeth St & Hester St,40.71729,-73.996375,18940,Subscriber,1961,1,10003
475,2014-02-01,2014-02-01T10:54:18.000-05:00,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,319,Park Pl & Church St,40.71336124,-74.00937622,21049,Subscriber,1980,1,10012
740,2014-02-01,2014-02-01T10:58:59.000-05:00,488,W 39 St & 9 Ave,40.75645824,-73.99372222,168,W 18 St & 6 Ave,40.73971301,-73.99456405,16889,Subscriber,1980,1,10018
355,2014-02-01,2014-02-01T11:55:14.000-05:00,394,E 9 St & Avenue C,40.72521311,-73.97768752,428,E 3 St & 1 Ave,40.72467721,-73.98783413,16991,Subscriber,1992,1,10009
393,2014-02-01,2014-02-01T12:31:49.000-05:00,212,W 16 St & The High Line,40.74334935,-74.00681753,496,E 16 St & 5 Ave,40.73726186,-73.99238967,15057,Subscriber,1976,1,10011
1367,2014-02-01,2014-02-01T13:02:32.000-05:00,307,Canal St & Rutgers St,40.71427487,-73.98990025,412,Forsyth St & Canal St,40.7158155,-73.99422366,18679,Subscriber,1972,1,10002
849,2014-02-01,2014-02-01T12:57:22.000-05:00,439,E 4 St & 2 Ave,40.7262807,-73.98978041,497,E 17 St & Broadway,40.73704984,-73.99009296,16660,Customer,\N,0,10003
628,2014-02-01,2014-02-01T13:00:19.000-05:00,263,Elizabeth St & Hester St,40.71729,-73.996375,297,E 15 St & 3 Ave,40.734232,-73.986923,16621,Subscriber,1963,1,10013
1032,2014-02-01,2014-02-01T13:23:42.000-05:00,294,Washington Square E,40.73049393,-73.9957214,493,W 45 St & 6 Ave,40.7568001,-73.98291153,16255,Subscriber,1990,1,10003
1440,2014-02-01,2014-02-01T13:33:01.000-05:00,510,W 51 St & 6 Ave,40.7606597,-73.98042047,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,20237,Customer,\N,0,10019
268,2014-02-01,2014-02-01T13:16:24.000-05:00,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,346,Bank St & Hudson St,40.73652889,-74.00618026,19179,Subscriber,1965,1,10011
